反映内容,反映时间,反映标题,反馈时间,受理单位,受理编号,处理状态,答复内容,链接
商贷转公积金贷款流程是什么？一般多久能完成转换,2018-12-27 15:28:22,商贷转公积金贷款,2018-12-29 14:31:23,大连市住房公积金管理中心,G20181227-0026,已办结,尊敬的网友您好：通过电话，详细解答咨询人提出的问题。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ee8e3d4c24e7
我已在网上预约了经济适用房取得完全产权业务，预约办理日期是2019年1月30日。因当时是在手机上预约，没有打印《大连市经济适用住房取得完全产权申请表》。过后我想到连接打印机的电脑上打印《申请表》，但在国土资源和房屋局网站上找不到该表，且“经济适用房取得完全产权业务网上预约”的页面也打不开。请问我该如何打印《申请表》？,2018-12-24 10:33:51,经济适用住房取得完全产权申请表无法打印,2018-12-25 09:51:04,住房保障中心,G20181224-0019,已办结,尊敬的网友您好：经济适用住房购房人办理取得完全产权预约的，可登录大连市国土资源和房屋局网站办理预约并下载《经济适用住房取得完全申请表》，如网页无法打开请按照网页提示使用360浏览器或谷歌浏览器，预约成功后在网页右下角下载并打印申请表。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167de06810b1d97
你好！我的档案在开发区人才中心，由于办理户口相关事宜，需要人才中心出具人事档案同意调出证明内容如下：**同志档案于****年*月委托在我中心保管，现同意其调出，加盖人才中心档案管理章，历时一年多，去了五六次，一直不给办理，请问这个证明如何办理？,2018-12-21 14:54:02,人事档案同意调出证明,2018-12-25 10:19:24,金普新区管理委员会,G20181221-0029,已办结,尊敬的网友您好：针对你提出的关于开具同意调出证明的问题，现答复如下：正如在与您电话联系时为您所解答的，根据政策性文件，可以给您出具同意调出证明（商调函），本人带人事代理手册和身份证原件，如本人不方便需要别人代办，在身份证复印件上手写一份委托书到人才广场2楼人事代理部现场开具即可。咨询电话：0411-65891601,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cf85a8061961
建议成立残疾人保障金，保障每位大连残疾人生活资金；,2018-12-18 15:00:17,建议成立残疾人保障金，保障每位大连残疾人生活资金；,2018-12-25 16:22:18,大连市残疾人联合会,G20181218-0104,已办结,薛先生是持有二级精神残疾人证，对他的建议已经解答。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c01caa9711d7
我现在持有的房产执照是1995年11月2日大连市政府颁发的《大房执甘村字第0107030178号》执照。执照上所有权人的名字是我父亲，现在父亲已经故去，房照上父亲的名字还有一个错字，我想变更母亲的名字，是否可以办理？该如何办理？邮箱：wqh03@dl.cn,2018-12-17 13:23:20,房产执照的所有权人变更的咨询,2018-12-19 15:46:51,交易发证中心,G20181217-0024,已办结,住户您好：申请住宅基地使用权及房屋所有权转移登记，提交的材料包括：1、不动产登记申请书；2、申请人身份证；3、不动产权属证书；4、户口簿；5、宅基地使用权及房屋所有权转移的材料，包括：（1）依法继承的，提供继承公证书；（2）分家析产的协议或者材料；（3）集体经济组织内部互换房屋的，提交互换协议书。同时，还应提交互换双方为本集体经济组织成员的材料。感谢您的关注！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ba9599150e2a
您好，想咨询一下，龙王塘国宝星月湾和海珠花园间的河流在进行什么施工？应该已经持续半个多月了。另外还想咨询一下，哪里可以查阅到这些公开信息？谢谢,2018-12-14 10:15:39,龙王塘国宝星月湾和海珠花园间的河流在进行什么施工？,2018-12-17 10:59:12,龙王塘街道办事处,G20181214-0039,已办结,尊敬的网友您好：此项施工为龙王塘河道治理施工。查阅公开信息，您可以登录国家级大连高新技术产业园区官方网站。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167aa7b2ec606eb
大连人才住房补贴已经办理完三个月，之前说三个月内发放。现在还没有消息。请问什么时候能发放，谢谢！,2018-12-12 13:30:09,请问住房补贴已经过了三个月，何时能发放谢谢。,2018-12-14 13:15:00,交易发证中心,G20181212-0008,已办结,住户您好：由于处于机构改革的特殊时期，预计十二月年末或一月初可以发放到位。感谢您的关注！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167a0e0a96d01de
您好！我是沙区世嘉星海小区业主，请公示我小区大连市沙河口区世嘉星海小区开发商大连远东房屋开发有限公司与我小区物业大连市瑞信物业管理有限公司履行的小区物业管理用房交接手续备案情况。谢谢！,2018-12-10 14:22:51,世嘉星海小区物业管理用房交接手续备案,2018-12-14 13:08:53,沙河口区城建局,G20181210-0034,已办结,尊敬的网友您好：住宅小区共有房屋使用情况备案情况应由居委会代表到区物业办申请查阅。该情况的备案工作，之前由国土房屋局负责，后因职权下放，物业管理工作下放到区城建局物业科。新建成小区备案在区城建局物业科，老小区的备案档案需具体核查。此小区的情况，已告知诉求人通过业主委员会到属地街道物业科或区物业办申请核查。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016796c52365248f
各位领导好，我是祥龙北园11号楼住户，今年进入冬季以后，我家卫生间的反味反而加重了。经过我更换地漏、马桶等措施，发现还是反味严重，有时候，夜间都能给人熏醒了，没办法我们白天都开着窗口穿着厚衣服通气，晚上厨房窗户留半扇通气。后来经过行家指点，我在楼顶发现，楼顶排污通气管里灌满了水，已经堵塞。经过与物业了解后发现是顶楼18层3号住户，违规更改房屋设计，将卫生间改为卧室，将通向卫生间的一切管道全部切除。经过了解，从17楼往下卫生间反味都十分严重，有的楼层一出电梯都有一股下水道味。物业严重不作为，几个星期了，连房主都没找到，一问就说正在找，基本处于不管状态。这大冬天的屋里开窗口比外面都冷，不开窗口臭气熏天，楼下有好几户已经搬走了，求求各位领导帮帮我们这十几户人家，我们真的无处可去。,2018-12-09 08:59:54,祥龙北园11号楼18层3号擅自切断排污通气管导致全楼臭气熏天,2018-12-11 15:56:35,甘井子区人民政府,G20181209-0002,已办结,尊敬的网友您好：经核实后，社区工作人员已经协助物业联系到18层住户并已约定具体时间到家中查看，物业正在处理中。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101679071200d2095
"情况说明下,暖气今年开始取暖后一直温热,挺好！昨晚大降温后就冰凉！且是进水口处没有热水。进水口是冰水,只能说明以前给压的是温水,热水在降温后并没有给压,导致的家里冰凉。和家里水循环并无关系。否则,为什么是降温后发生？最可气的是,去年也是同样的情况,我来这里投诉了后,韩师傅始终周旋,他来了就热,不来便凉,一个一个破解所有他找的理由后,家里最后也并没有做韩师傅提议的各种再次改装建议,就暖和了一冬天,什么都解决了。刚刚联系的还是韩师傅,人没来,又是拒绝的理由。问什么时候来,也态度强硬。大发公司收了老百姓的取暖费,煤炭大降价的时候,几乎没有降价过,却这么做服务,下面操作工屡屡给老百姓取暖设置障碍,真是没处说理了,希望政府能给老百姓做主。解决我们冬天取暖问题。补充说明一下家里情况1我家里有80多岁的老人,家里穿着厚厚的棉衣,所有老人都会慢慢血管脆弱,寒冷对老人都是要命的,家家都有老人,谁都有老,欺负这样的老弱家庭,真心的不该。2,我家暖气是韩师傅的上一任,明确讲了不改装暖气就不热,强迫我家老人做的改装,收了改装费的。同时改的不止我家,比不多把小区一半以上都给改了。把管道从原始的改成了一公分的粗管。大发韩师傅以此发难,我想可以恳请大发工作人员来改回原样,并照价赔偿我损失。我们老百姓没有私自改装的本事。也不要推说之前改装的师傅是临时工,不论是临时工还是正式的,都是大发聘用的,领大发薪水的,代表的是大发的建议和操作。路上见到这个人,非要我们改装,谁会理？？？请大发不要逃避责任。",2018-12-08 09:35:50,"救救家里老人吧！暖气平时温热,又大降温时候不给热压,冰凉！",2018-12-17 14:18:56,供热办,G20181208-0005,已办结,师傅上门维修，暖气热，室温达标。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101678b7134361e73
