信件标题,信件编号,办理单位,状态,类型,链接
快递运输用的微型面包车是否需要办理营运证等,G20190102-0011,大连市道路运输管理处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816809a16101680c6b20280100
《企业知识产权管理规范》国家标准，沙河口区有没有补贴政策,G20190102-0010,沙河口区经济和信息化局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816809a16101680c638c1900fd
关于金普新区统计新区查询问题,G20181231-0016,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900168032e88b52d44
咨询如何查询大连保税区商品房合同备案查询,G20181230-0004,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167fd03d4472aff
请法制办予以解答，谢谢。,G20181229-0025,政府法制办公室,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167f8dedc8a29a2
高中学籍,G20181228-0034,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167f401a3cf27b5
蜗享出行app恶意不退押金,G20181228-0005,大连市道路运输管理处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167f23c2ff826a7
咨询，本市户籍如何取得公租房？,G20181227-0040,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ef7280cf255d
关于大连住宅服务标准,G20181227-0037,甘井子区椒金山街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ef49859a254d
商贷转公积金贷款,G20181227-0026,大连市住房公积金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ee8e3d4c24e7
居然之家金三角店与038号摊位刘亮合同违约,G20181227-0013,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167edd042f3247e
个人产权证号查询,G20181227-0002,交易发证中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ed1cdc952415
泰达慧谷开发商强制签前期物业,G20181225-0025,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167e4007bae2065
停车场收费问题,G20181225-0018,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167e3cf6e342041
商品房长期不给办理房产证,G20181225-0007,旅顺口区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167e329b19f1fe0
小区停车，车辆受损，小区物业不全额赔偿车辆损失费用,G20181224-0032,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167df0fb0201e24
尚处于公积金还贷的房屋是否可以办理产权证加名？,G20181224-0031,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167def3ab571e11
gugu,G20181224-0023,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167de5cca9a1dc4
青云云集住宅楼外墙私搭高台,G20181224-0020,中山区行政执法局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167de2b602d1da7
经济适用住房取得完全产权申请表无法打印,G20181224-0019,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167de06810b1d97
企业经营期限变更手续,G20181224-0005,甘井子区市场监督管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167dd9780041d3c
关于大连市沙河口区枫林绿洲小区房屋产权问题,G20181224-0001,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167dbe4a2b11ce1
海港楼44号危墙,G20181223-0011,市政管理处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167dab4e6d91c95
要青山绿水，更要温饱生存,G20181223-0007,甘井子区市场监督管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167d9ccb32b1c58
商业贷款办理产权证,G20181221-0049,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167d04596a519e1
咨询金普新区教育局,G20181221-0041,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cfb77208198e
咨询长海县教育局,G20181221-0040,长海县教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cfb54c54198b
咨询普兰店市教育局,G20181221-0037,普兰店区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cfb10ed31987
毕业5年内购房有补贴？,G20181221-0039,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cfa52cbe197b
人事档案同意调出证明,G20181221-0029,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cf85a8061961
关于健身会员卡的问题,G20181221-0025,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167cf53492b193e
办理积分综合落户要求房屋查询结果,G20181221-0016,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ceae951a18e9
《参保人员基本医疗保险类型变更信息表》多久可以出具,G20181221-0014,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ce9f16a318d2
大连亿丰汽车城屋面停车场权属,G20181221-0003,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ce1c76af1872
大连弘润置业有限公司拖欠赔偿,G20181220-0048,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ca61a5b51702
咨询民政退休人员公用经费的问题,G20181220-0045,甘井子区民政局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167ca307b9516df
经济适用房办理产权,G20181220-0028,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081679c56900167c9802ff21665
