发布时间,来源,标题,状态,答复部门,类型,链接
2019-01-02,反映问题,为什么房屋温度老是上不去,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4f881bad-a065-41a9-a833-5f7b2daba808.html
2019-01-01,反映问题,反映长年供热不热就过年给你热乎几天,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/2f0d5b48-ccab-49f1-980e-62c71f82e6a7.html
2018-12-27,反映问题,反映军苑一号小区室内温度不达标,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/7cefbacf-19f1-4754-afc4-00628683c5b7.html
2018-12-27,反映问题,供暖不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/0df6c4a4-0a72-43dd-9bae-1135322877a1.html
2018-12-25,反映问题,反映军苑一号小区物业违规、服务差,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/b790731e-425f-4829-901a-87ae24830652.html
2018-12-25,反映问题,反映两次的滨江路凯乐宾馆旁信用社违规霸占车位问题依然没有解决！,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/9d583637-1b8c-4144-86a5-128fa8d0f725.html
2018-12-20,反映问题,关于市场执法检查,已回复,农业委员会（扶贫办）,反映问题,http://www.jms.gov.cn/html/zmhd/content/8c6a861e-aa01-4fc0-a75e-87c52bb99eba.html
2018-12-19,反映问题,关于缴纳社保开单子、以及银行盖章问题。,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40449.html
2018-12-17,反映问题,咨询劳动保险,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40421.html
2018-12-14,反映问题,反映道路拥堵问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40403.html
2018-12-10,反映问题,室温只有16度,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40365.html
2018-12-08,反映问题,关于家里供暖温度上不来的问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40355.html
2018-12-07,反映问题,反映咋能把室内温度提高,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40348.html
2018-12-06,反映问题,反映文久胡同路段应设立单向通行,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40342.html
2018-12-05,反映问题,反映佳木斯市郊区九郡小区（东方新城医院职工住宅小区）超规划范围建设房屋问题,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40330.html
2018-12-03,反映问题,反映关于学校办理人人通问题,已回复,教育局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40314.html
2018-11-30,反映问题,反映供热不达标,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40303.html
2018-11-30,反映问题,请源头治理，长效性抓好供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40297.html
2018-11-29,反映问题,反映光复路立交桥建议严格执行不按导向标志行驶的处罚,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40296.html
2018-11-29,反映问题,医疗保险问题,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40294.html
2018-08-03,反映问题,胜利路体育场出口车流量大 车辆不让行人，过快行驶，请考虑安装监控,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39616.html
2018-08-02,反映问题,反映新府苑二期小区门外一堆垃圾,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39607.html
2018-08-01,反映问题,佳木斯到桦川公路限行问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39599.html
2018-07-30,反映问题,反映郊区西林路碧水澜庭小区E栋违规加盖楼层造成重大安全隐患,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39581.html
2018-07-30,反映问题,反映每天后半夜红旗街有摩托车疯狂彪车,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39575.html
2018-07-29,反映问题,反映食药监局门口南侧小路路面稀烂什么时候恢复,已回复,东风区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39571.html
2018-07-28,反映问题,反映梅江公园（骨科医院门前）噪音扰民唱歌到半夜,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39565.html
2018-07-28,反映问题,反映火车站有没有军人候车区,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39564.html
2018-07-28,反映问题,反映大学路和学府路红绿灯处道路有大坑车不好通过,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39560.html
2018-11-13,反映问题,反映金融小区物业管理问题,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40197.html
2018-11-12,反映问题,反映天气冷住户心更冷,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40191.html
2018-11-11,反映问题,反映中恒供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40185.html
2018-11-11,反映问题,反映威立雅只收钱，供热不达标,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40184.html
2018-11-10,反映问题,反映汇鑫源小区供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40183.html
2018-11-10,反映问题,全市各学校责成家长清扫校园积雪，是否合理,已回复,教育局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40182.html
2018-11-09,反映问题,反映南铁西小区暖气不热导致家人在家冻病,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40180.html
2018-11-09,反映问题,反映威立雅供热能不能在冷点,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40178.html
2018-09-26,反映问题,反映公交卡机问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39956.html
2018-09-25,反映问题,关于违法广告问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39945.html
2018-09-23,反映问题,关于自来水管线漏水问题,已回复,信访局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39942.html
2018-09-21,反映问题,反映人行道地砖应该改进,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39938.html
2018-09-21,反映问题,反映林海路西延段走向,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39937.html
2018-09-20,反映问题,反映商家户外播放音乐城管局解决不彻底,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39933.html
2018-09-19,反映问题,反映光缆落地,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39930.html
2018-09-19,反映问题,出租车禁烟何时不再是顽疾,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39929.html
2018-09-18,反映问题,前进区桥南路师范巷道路破损严重谁来修复,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39923.html
2018-09-18,反映问题,反映供暖报停期间仍需缴纳20%的基础费依据是什么,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/39919.html
2018-11-28,反映问题,能否在松桦街与友谊路交叉口南500米至700米之间，增设路灯方便出行,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40292.html
2018-11-27,反映问题,反映学生医保接续问题,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40281.html
2018-11-24,反映问题,反映佳西小区院内折断树枝无人清理,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40265.html
2018-11-23,反映问题,反映凊雪问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40257.html
2018-11-22,反映问题,汤原县今年交完养老保险不给发票,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40255.html
2018-11-21,反映问题,反映金融小区门前冰雪归谁请,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/40247.html
2018-11-21,反映问题,供热不热，早起温度17度,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40243.html
2018-11-21,反映问题,多年供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40241.html
2018-11-20,反映问题,反映供热问题 屋里不热，晚上很冷,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40238.html
2018-11-20,反映问题,中恒供暖不热，客服态度差，不处理,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40236.html
2018-08-17,反映问题,反映关心百姓安全解决山水家园红绿灯问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39741.html
2018-08-17,反映问题,为什么医保卡办理一年不下卡,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39740.html
2018-08-16,反映问题,办理不动产权证时收全款发票了吗,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/39737.html
2018-08-16,反映问题,反映佳木斯到桦川限行问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39735.html
2018-08-16,反映问题,反映前进区桥南社区老鼠太多了,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39734.html
2018-08-14,反映问题,反映帝景豪庭三期门市违规建设,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39724.html
2018-08-13,反映问题,反映胜利路禁止大货车鸣笛问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39704.html
2018-08-12,反映问题,关于时代景城违规收取燃气安装费,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39700.html
2018-08-10,反映问题,反映顺德路升平小区临街店铺私搭乱建,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39695.html
2018-07-27,反映问题,反映交纳劳动保险金为什么不用:社会保障卡一卡通,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39559.html
2018-07-27,反映问题,关于公司生育保险报销问题,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39558.html
2018-07-27,反映问题,反映佳抚公路货车限行问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/39556.html
2018-07-26,反映问题,反映困企医保意外险无法补交,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39551.html
2018-07-26,反映问题,反映客运枢纽站厕所卫生问题,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39545.html
2018-07-26,反映问题,反映万达物业,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39543.html
2018-07-26,反映问题,反映万达物业问题,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39542.html
2018-07-25,反映问题,反映世水花园物业管理问题,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/39539.html
2018-07-24,反映问题,反映各大主干道半夜都有摩托车骑行飙车事件,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39533.html
2018-07-24,反映问题,反映困企退休职工医保意外交不了求助,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/39532.html
2018-11-08,反映问题,反映供热办电话打不进去问题解决不了,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40171.html
2018-11-07,反映问题,反映车主改信息这么难吗,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40170.html
2018-11-05,反映问题,反映严厉治理客运枢纽站内外人为环境,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40160.html
2018-11-05,反映问题,反映文久街与解放路交叉口交通指示灯问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40158.html
2018-11-03,反映问题,关于在友谊路（万向街和红旗路中间路段）设置逆行抓拍执法的建议,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40155.html
2018-11-03,反映问题,关于对光复桥周边路段启动不按导向标志行驶抓拍的建议,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/40154.html
2018-11-02,反映问题,小学一、二年级为什么还在违反国家、省、市文件规定留书面家庭作业,已回复,教育局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40150.html
2018-11-01,反映问题,反映自留地相关问题,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40142.html
2018-11-01,反映问题,反映威立雅热化年年不热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40139.html
2018-10-31,反映问题,反映供暖问题迟迟没有解决,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40136.html
2018-10-31,反映问题,反映郊区亚麻社区一直没供热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40135.html
2018-10-16,反映问题,请协调供热企业及时解决民生供热问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40047.html
2018-10-16,反映问题,反映能否让暖气热起来,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40045.html
2018-10-14,反映问题,反映佳木斯万达小区去年晚供热一个月,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40041.html
2018-10-14,反映问题,反映小区烤肉排风噪音扰民,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/40037.html
2018-10-13,反映问题,反映为什么要钱了，不给热化，天天修,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/40026.html
